,Initial,Final,Interval,H2S,Flow,H3,H4,D1,D3,D28,D91,D180,D365
365,39,48,9,,,,,,,,,,
366,55,63,8,,,,,,,,,,
367,84,91,7,,,,,,,,,,
368,17,23,6,,,,,,,,,,
369,27,35,8,,,,,,,,,,
370,43,52,9,,,,,,,,,,
371,73,85,12,,,,,,,,,,
372,83,99,16,,,,,,,,,,
373,107,125,18,,,,,,,,,,
374,47,57,10,,205,1,,5.8,19.8,19,,,
375,34,42,8,,210,44.3,,49,65.5,75.6,,,
376,7,11,4,,267.5,22.2,,34.5,42.8,56.9,,,
377,6,13,7,,260,18.1,,31,37,48.3,,,
378,5,12,7,,272.5,11.4,,20.3,26.4,35,,,
379,19,27,8,,252.5,1.4,,33.8,49.9,64.2,,,
380,20,27,7,,235,0.7,,29,46.2,45.1,,,
381,17,22,5,,285,18.4,,30,39.1,51.1,,,
382,9,15,6,,272.5,17.4,,25.6,30.4,44.6,,,
383,9,12,3,,262.5,13.9,,23.7,25.9,39.7,,,
384,32,40,8,,222.5,0.9,,20.6,33.3,41.8,,,
385,23,29,6,,240,2.2,,46.9,50.3,64.3,,,
386,64,82,18,,270,0.4,,33.3,42.2,64.6,,,
387,60,80,20,,257.5,1.6,,28.7,46.2,58.5,,,
388,51,71,20,,257.5,0.4,,31.9,40,60.5,,,
389,52,74,22,,245,4,,35.3,50.4,58.5,,,
390,50,70,20,,247.5,0.7,,33.3,4.2,63,,,
391,9,16,7,,290,23.8,,37.8,40,58.3,,,
392,7,15,8,,290,19.2,,31.5,39,53.4,,,
393,5,13,8,,290,17,,27,31.2,46.9,,,
394,21,30,9,,277.5,16.8,,25.3,28.4,42.8,,,
395,19,28,9,,275,3.6,,37.7,40.2,58.2,,,
396,,,,,,,,,,,,,
397,,,,,,,,,,,,,
398,,,,,,,,,,,,,
399,,,,,,,,,,,,,
400,,,,,,,,,,,,,
401,,,,,,,,,,,,,
402,,,,,,,,,,,,,
403,,,,,,,,,,,,,
404,,,,,,,,,,,,,
405,,,,,,,,,,,,,
406,,,,,,,,,,,,,
407,36,43,7,,,,,,,,,,
408,70,80,10,,250,0.9,,2.9,9.2,18.5,,,
409,180,200,20,,,,,,,,,,
410,3,5,2,,,,,,,,,,
411,28,45,17,,215,0.5,,25,48.1,58.8,,,
412,132,148,16,,,,,,,,,,
413,26,32,6,,,,,,,,,,
414,50,58,8,,227.5,0.9,,2.9,9.7,20.3,,,
415,150,166,16,,,,,,,,,,
416,5,9,4,,,,,,,,,,
417,51,59,8,,197.5,0.5,,27.1,47.7,62.4,,,
418,62,70,8,,,,,,,,,,
419,0,0,0,,,,,,,,,,
420,1,2,1,,237.5,1.2,,3.4,14.1,19.9,,,
421,4,7,3,,,,,,,,,,
422,1,2,1,,,,,,,,,,
423,20,24,4,,177.5,20.9,,37.2,44.1,50.8,,,
424,50,57,7,,,,,,,,,,
425,14,17,3,,,,,,,,,,
426,29,36,7,,,,,,,,,,
427,40,49,9,,,,,,,,,,
428,62,68,6,,,,,,,,,,
429,62,72,10,,,,,,,,,,
430,85,95,10,,,,,,,,,,
431,20,25,5,,,,,,,,,,
432,51,58,7,,,,,,,,,,
433,65,72,7,,,,,,,,,,
434,8,12,4,,,,,,,,,,
435,13,18,5,,,,,,,,,,
436,25,30,5,,,,,,,,,,
437,23,30,7,,,,,,,,,,
438,13,16,3,,,,,,,,,,
439,12,16,4,,,,,,,,,,
440,17,25,8,,,,,,,,,,
441,29,34,5,,,,,,,,,,
442,19,38,19,,,,,,,,,,
443,3,7,4,,,46.2,,,,,,,
444,3,8,5,,,44.2,,,,,,,
445,4,7,3,,,30.7,,,,,,,
446,3,7,4,,,25.7,,,,,,,
447,4,8,4,,,,,,,,,,
448,3,7,4,,,,,,,,,,
449,3,8,5,,,,,,,,,,
450,7,12,5,,,,,,,,,,
451,,,,,220,18.2,,,,,,,
452,,,,,205,13.5,,,,,,,
453,,,,,245,13.1,,,,,,,
454,,,,,210,10.2,,,,,,,
455,,,,,205,10.4,,,,,,,
456,,,,,215,9.8,,,,,,,
457,,,,,225,11.3,,,,,,,
458,,,,,210,11.5,,,,,,,
459,,,,,205,13.9,,,,,,,
460,,,,,205,4.5,,,,,,,
461,,,,,,24.9,,,,,,,
462,,,,,,24.4,,,,,,,
463,,,,,,28.6,,,,,,,
464,13,26,13,,,,,,,,,,
465,39,55,16,,,,,,,,,,
466,37,59,22,,,,,,,,,,
467,,,,,,14.9,,23.1,,,,,
468,,,,,,13.1,,21.3,,,,,
469,,,,,,9.3,15.2,18.1,,,,,
470,8,12,4,,,,,,,,,,
471,19,34,15,,,,,,,,,,
472,27,49,22,,,,,,,,,,
473,,,,,247.5,20.5,27.6,42.1,49.8,55.8,,,
474,,,,,275,17.9,24.3,40.2,48.5,54.6,,,
475,,,,,2292.5,11.1,16.3,36.8,42.5,54.2,,,
476,,,,,300,13.4,18.9,34.3,37.8,45.6,,,
477,,,,,295,5.7,9.4,32.7,36.9,48.2,,,
478,16,20,4,,,,,,,,,,
479,26,35,9,,,,,,,,,,
480,26,31,5,,,,,,,,,,
481,25,31,6,,,,,,,,,,
482,29,36,7,,,,,,,,,,
483,24,34,10,,,,,,,,,,
484,31,46,15,,,,,,,,,,
485,32,43,11,,,,,,,,,,
486,26,42,16,,,,,,,,,,
487,48,73,25,,,,,,,,,,
488,37,57,20,,,,,,,,,,
489,42,71,29,,,,,,,,,,
490,,,,,237.5,15.9,22.9,35.6,43,55.7,,,
491,,,,,265,0.6,1.1,15.6,23.4,36.9,,,
492,,,,,295,,0.3,1.4,2.5,,,,
493,,,,,285,,0.2,1,1.5,,,,
494,16,21,5,,,36.1,37.8,,,,,,
495,110,123,13,,,26.3,27.8,,,,,,
496,18,23,5,,,26.5,28.9,,,,,,
497,16,19,3,,,24.4,24.8,,,,,,
498,16,20,4,,,38.5,41.9,,,,,,
499,13,17,4,,,38.3,39.2,,,,,,
500,10,16,6,,,30.3,38.2,,,,,,
501,9,13,4,,,16,20.2,,,,,,
502,17,23,6,,,39.3,44.4,,,,,,
503,15,19,4,,,38.6,42.1,,,,,,
504,5,9,4,,,27.6,28.3,,,,,,
505,8,12,4,,,21.8,24.6,,,,,,
506,6,10,4,,,18.7,26,,,,,,
507,6,8,2,,,24.9,31.1,,,,,,
508,27,34,7,76,,43.8,47.3,,,,,,
509,30,37,7,,,,,,,,,,
510,32,39,7,,,,,,,,,,
511,18,26,8,,,,,,,,,,
512,8,12,4,,,,,,,,,,
513,22,27,5,,,,,,,,,,
514,30,35,5,,,,,,,,,,
515,40,51,11,240,,25.1,36.6,,,,,,
516,41,48,7,,,,,,,,,,
517,42,49,7,,,,,,,,,,
518,25,32,7,,,,,,,,,,
519,12,17,5,,,,,,,,,,
520,35,45,10,,,,,,,,,,
521,29,33,4,,,,,,,,,,
522,61,69,8,249,,19.8,24.9,,,,,,
523,56,67,11,297,,22.5,31.6,,,,,,
524,58,69,11,309,,23.9,28.7,,,,,,
525,41,50,9,238,,21.2,26.1,,,,,,
526,17,22,5,154,,17.3,20,,,,,,
527,42,51,9,132,,23.5,25.7,,,,,,
528,42,52,10,132,,19,22.6,,,,,,
529,,,,76,,,,,,,,,
530,,,,109,,,,,,,,,
531,,,,205,,,,,,,,,
532,,,,223,,,,,,,,,
533,,,,249,,,,,,,,,
534,,,,240,,,,,,,,,
535,,,,312,,,,,,,,,
536,,,,13,,,,,,,,,
537,,,,22,,,,,,,,,
538,,,,7,,,,,,,,,
539,,,,52,,,,,,,,,
540,,,,9,,,,,,,,,
541,,,,65,,,,,,,,,
542,,,,,,,,,,,,,
543,,,,,,,,,,,,,
544,,,,,,,,,,,,,
545,,,,,,,,,,,,,
546,,,,,,,,,,,,,
547,,,,,,,,,,,,,
548,,,,,,,,,,,,,
549,,,,,,,,,,,,,
550,,,,,,,,,,,,,
551,,,,,,,,,,,,,
552,,,,,,,,,,,,,
553,,,,,,,,,,,,,
554,,,,,,,,,,,,,
555,,,,,,,,,,,,,
556,,,,,,,,,,,,,
557,,,,,,,,,,,,,
558,,,,,,,,,,,,,
559,,,,,,,,,,,,,
560,,,,,,,,,,,,,
561,,,,,,,,,,,,,
562,,,,,,,,,,,,,
563,,,,,,,,,,,,,
564,,,,,,,,,,,,,
565,,,,,,,,,,,,,
566,,,,,,,,,,,,,
567,,,,,,,,,,,,,
568,,,,,,,,,,,,,
569,,,,,,,,,,,,,
570,,,,,,,,,,,,,
571,,,,1,,,,,,,,,
572,,,,1,,,,,,,,,
573,,,,1,,,,,,,,,
574,,,,1,,,,,,,,,
575,,,,60,,,,,,,,,
576,,,,31,,,,,,,,,
577,,,,28,,,,,,,,,
578,,,,26,,,,,,,,,
579,,,,26,,,,,,,,,
580,,,,12,,,,,,,,,
581,,,,11,,,,,,,,,
582,,,,,210,35.6,36.7,49.5,,64.3,,,
583,,,,,162.5,17,20.8,34.2,,59,,,
584,,,,,172.5,21.8,24.5,37.8,,61.5,,,
585,10,15,5,2,,,,,,,,,
586,50,85,35,4,,,,,,,,,
587,27,36,9,3,,,,,,,,,
588,3,7,4,2,,,,,,,,,
589,5,9,4,1,,,,,,,,,
590,5,9,4,21,,,,,,,,,
591,0,0,0,7,,,,,,,,,
592,0,0,0,16,,,,,,,,,
593,0,0,0,14,,,,,,,,,
594,0,0,0,10,,,,,,,,,
595,1,2,1,,,,,,,,,,
596,1,2,1,,,,,,,,,,
597,1,3,2,,,,,,,,,,
598,0,0,0,,,,,,,,,,
599,,,,,212.5,25.3,30.6,44.7,,50.6,,,
600,,,,,212.5,27.8,30.5,40.1,,48.7,,,
601,,,,,202.5,31.6,34.5,40.1,,44.6,,,
602,,,,,252.5,35.7,36.8,42.5,,54.3,,,
603,,,,,227.5,17.4,16.6,22,,35.6,,,
604,,,,,205,26.3,27.3,46.3,,54.6,,,
