,MeanV,Density,Blain
581,12.26,2.97,5.858
582,12.26,2.97,5.858
583,9.274,3.02,7127
584,9.274,3.02,7127
585,12.26,2.97,5.858
586,12.26,2.97,5.858
587,12.26,2.97,5.858
588,12.26,2.97,5.858
589,12.26,2.97,5.858
590,12.26,2.97,5.858
591,12.26,2.97,5.858
592,12.26,2.97,5.858
593,12.26,2.97,5.858
594,12.26,2.97,5.858
595,12.26,2.97,5.858
596,12.26,2.97,5.858
597,12.26,2.97,5.858
598,12.26,2.97,5.858
599,12.26,2.97,5.858
600,9.274,3.02,7127
601,12.26,2.97,5.858
602,12.26,2.97,5.858
603,9.274,3.02,7127
604,9.274,3.02,7127
